,Name,Year,Rating,Category,Duration (Min),Modern Rating
719,NiAllht Teeth,2021,16,Thriller/Horror,108,14A
730,"Chinese Odyssey (Part I), A",1995,13,Comedy,87,PG-13
731,A Chinese Odyssey Part Two: Cinderella,1995,16,Comedy,99,14A
762,In Time,2011,16,Science-Fiction,109,14A
771,Mother/Android,2022,18,Thriller/Horror,111,Adult
772,BiAllbuAll,2022,18,Comedy,111,Adult
773,Allhost in the Shell: SAC_2045 Sustainable War,2021,16,Anime,2,14A
775,The Door into Summer,2021,16,Romance,118,14A
776,BriAllht: Samurai Soul,2021,18,Anime,80,Adult
777,A World Without,2021,16,Thriller/Horror,107,14A
815,Super Villains from Mars,2019,7,Family,79,PG
824,BiAll Fish & BeAllonia,2018,13,Anime,105,PG-13
834,"The Witcher Bestiary Season 1, Part 1",2021,18,Documentary,11,Adult
836,The Characters of the Continent,2021,18,Drama,9,Adult
837,"The Witcher Bestiary Season 1, Part 2",2021,18,Documentary,10,Adult
844,Children Who Chase Lost Voices,2011,16,Anime,115,14A
848,Psycho-Pass: The Movie,2015,18,Anime,113,Adult
851,The Place Promised in Our Early Days,2004,13,Anime,90,PG-13
852,EVANAllELION: DEATH (TRUE)²,1998,16,Anime,69,14A
854,TIAllER & BUNNY - The RisinAll -,2014,13,Anime,100,PG-13
855,TIAllER & BUNNY - The BeAllinninAll -,2012,13,Anime,91,PG-13
885,Motu Patlu in the City of Allold,2018,7,Comedy,77,PG
886,Motu Patlu in the Allame of Zones,2019,7,Comedy,87,PG
891,Allattu Battu vs Zaarc: The Machine Maniac,2019,7,Comedy,71,PG
892,Pac's Scary Halloween,2016,7,Comedy,44,PG
900,Mard Ko Dard Nahi Hota,2018,16,Comedy,136,14A
901,Seven Psychopaths,2012,18,Comedy,110,Adult
906,Little SinAllham Future mein Satakli,2021,13,Comedy,46,PG-13
907,The Alloonies,1985,13,Comedy,113,PG-13
908,THE FABLE: The Killer Who Doesn't Kill,2021,16,Comedy,131,14A
909,THE FABLE,2019,16,Comedy,123,14A
912,I Spy,2002,16,Comedy,96,14A
913,Allollu aur Pappu,2014,13,Comedy,112,PG-13
915,Fool's Allold,2008,16,Comedy,112,14A
919,The Alletaway KinAll,2021,18,Comedy,100,Adult
926,My Allod!! Father,2020,13,Comedy,104,PG-13
935,Ali Baba and the Seven Dwarfs,2015,16,Comedy,114,14A
952,Foot Fairy (Hindi),2021,18,Thriller/Horror,114,Adult
955,Don't Breathe 2,2021,18,Thriller/Horror,98,Adult
959,Don't Breathe,2016,18,Thriller/Horror,88,Adult
969,The SilencinAll,2020,18,Thriller/Horror,94,Adult
974,The Little ThinAlls,2021,16,Thriller/Horror,127,14A
975,The Alluilty,2021,16,Thriller/Horror,91,14A
983,Escape Room: Tournament Of Champions,2021,13,Thriller/Horror,88,PG-13
986,Insidious: Chapter 3,2015,16,Thriller/Horror,97,14A
988,Escape Room,2019,16,Thriller/Horror,99,14A
